@RELATION IconPrediction

   @ATTRIBUTE grad1  NUMERIC
   @ATTRIBUTE grad2   NUMERIC
   @ATTRIBUTE grad3  NUMERIC
   @ATTRIBUTE grad4   NUMERIC
   @ATTRIBUTE grad5  NUMERIC
   @ATTRIBUTE grad6   NUMERIC
   @ATTRIBUTE grad7  NUMERIC
   @ATTRIBUTE grad8   NUMERIC
   @ATTRIBUTE grad9   NUMERIC
   @ATTRIBUTE class  {-1,0,1,2}
   
@data
0.10380211,0.024757067,0.032192003,0.032864563,0.18000975,0.050783534,0.060287055,0.043194011,0.088821881,-1
0,0,0,0,0.2382292,0,0,0,0,-1
0.012660049,0.035585549,0.044601325,0.025050236,0.068329811,0.0075559006,0.0020979044,0.0038901928,0.0090554757,-1
0.055163853,0.024204394,0.026343878,0.027412139,0.068660587,0.03188844,0.039333671,0.019301452,0.0559933,-1
0.0096334182,0.0056988639,0.021914331,0.021432882,0.19851105,0.018949721,0.022994725,0.0096870204,0.0057867174,-1
0.10569324,0.047485791,0.073289499,0.046144627,0.11219303,0.046915218,0.11219303,0.066402726,0.098021224,-1
0.023556786,0.030682556,0.038749579,0.025244365,0.074709445,0.018950563,0.073797934,0.028813383,0.020617703,-1
0.057898514,0.01118341,0.011086838,0.0040673083,0.20335123,0.028849009,0.035399631,0.025151474,0.072245732,-1
0.0002226618,5.8551221E-005,0.0001752076,0,0.0001662513,0,2.6922264E-005,8.9969471E-006,0.0002226618,-1
0.015069011,0.013109026,0.022263002,0.012863888,0.046110094,0.0043426021,0.0088642538,0.0078582037,0.018903758,-1
0.059387412,0.0076827784,0.0091487365,0.0053070793,0.027527904,0.0060341638,0.013803741,0.0068429867,0.056046005,-1
0.0036329215,0.0028959657,0.0039840513,0.0047495714,0.030243682,0.0036231889,0.0080830017,0.0041032615,0.0011705087,-1
0.12175232,0.034908924,0.026326034,0.014591742,0.13925476,0.041425515,0.037176147,0.056514177,0.12389455,-1
0.055407044,0.033342686,0.037404716,0.04657669,0.13052906,0.10948786,0.12205347,0.078947358,0.073176034,-1
0.035068274,0.0318444,0.043642569,0.02244815,0.032712243,0.012094971,0.015551015,0.020062916,0.03110907,-1
